"Country","Year","Mental hospitals (per 100 000 population)","Mental health units in general hospitals (per 100 000 population)","Mental health outpatient facilities (per 100 000 population)","Mental health day treatment facilities (per 100 000 population)","Community residential facilities (per 100 000 population)"
"Afghanistan","2016","0.003","0.012","0.006","",""
"Albania","2016","0.068","0.068","0.410","","0.445"
"Algeria","2016","0.048","0.068","0.048","",""
"Angola","2016","0.011","","","","0.014"
"Antigua and Barbuda","2016","1.001","","","",""
"Argentina","2016","0.937","1.071","1.720","","0.152"
"Armenia","2016","","0.069","1.371","0.034",""
"Australia","2015","0.071","0.601","","1.105","0.752"
"Austria","2015","0.092","0.265","3.457","2.616","4.448"
"Azerbaijan","2016","0.114","0.021","0.156","0.094","0.031"
"Bahamas","2015","0.259","0.259","0.517","0.259",""
"Bahrain","2017","0.146","","1.239","0.729","0.146"
"Bangladesh","2016","0.001","0.035","0.055","","0.045"
"Barbados","2015","0.352","0.352","4.574","","0.704"
"Belarus","2016","0.200","0.063","0.116","0.285",""
"Belgium","2013","0.470","0.558","","","1.134"
"Belize","2016","","1.948","2.227","0.278","0.278"
"Bhutan","2016","","0.127","3.556","",""
"Bolivia (Plurinational State of)","2016","0.075","0.009","0.009","",""
"Bosnia and Herzegovina","2015","0.085","0.537","1.442","",""
"Botswana","2017","0.091","0.226","0.272","0.045",""
"Brazil","2016","0.069","0.115","1.491","","0.267"
"Brunei Darussalam","2016","","0.479","2.634","0.718","0.479"
"Bulgaria","2016","0.167","0.307","0.307","5.935","1.783"
"Burkina Faso","2016","","0.287","","",""
"Burundi","2017","0.010","","0.010","0.029",""
"Cabo Verde","2017","","0.563","","",""
"Cambodia","2016","","0.006","1.134","",""
"Canada","2017","0.057","0.401","0.330","",""
"Central African Republic","2017","","0.022","","",""
"Chad","2016","","0.007","0.007","",""
"Chile","2016","0.023","0.175","0.839","0.315","1.171"
"China","2015","0.068","","","",""
"Colombia","2016","1.988","0.222","0.292","",""
"Comoros","2017","","0.129","","",""
"Congo","2016","","0.040","0.020","",""
"Cook Islands","2016","","","5.731","5.731","5.731"
"Costa Rica","2016","0.042","0.042","1.706","0.125","0.042"
"C̫te d'Ivoire","2016","0.009","0.013","0.017","0.022",""
"Croatia","2016","0.165","0.519","3.093","0.803",""
"Cuba","2016","0.166","0.148","2.932","0.445","1.213"
"Cyprus","2015","0.086","0.172","0.861","0.517",""
"Czechia","2015","0.170","0.283","10.949","","1.471"
"Dominican Republic","2016","","0.076","1.748","0.019",""
"Ecuador","2016","0.025","0.173","0.242","3.010",""
"Egypt","2016","0.019","","0.031","0.011",""
"El Salvador","2016","0.032","0.253","0.729","",""
"Equatorial Guinea","2017","0.085","","0.340","",""
"Eritrea","2016","0.021","0.206","0.227","",""
"Estonia","2016","0.152","0.684","14.820","17.176","3.496"
"Eswatini","2017","0.076","0.379","","",""
"Ethiopia","2017","0.002","0.052","0.062","",""
"Fiji","2016","0.112","0.336","3.363","0.112",""
"Finland","2017","","0.748","7.516","","3.065"
"Gabon","2016","0.052","","0.052","",""
"Georgia","2016","0.228","0.076","0.683","0.101",""
"Germany","2015","0.335","0.491","0.077","","1.570"
"Ghana","2016","0.011","1.095","2.378","0.018","0.015"
"Greece","2016","0.027","0.330","1.346","1.319","6.178"
"Grenada","2016","0.936","0.936","10.297","",""
"Guatemala","2016","0.006","0.006","1.434","","0.006"
"Guinea","2016","","0.008","","",""
"Guinea-Bissau","2016","0.056","","0.056","",""
"Guyana","2016","0.130","0.130","0.260","",""
"Haiti","2016","0.019","0.009","0.131","",""
"Honduras","2014","0.022","","0.145","","0.011"
"Hungary","2016","","2.647","8.269","0.020","0.286"
"Iceland","2016","0.303","4.542","3.028","",""
"India","2016","0.010","0.030","0.176","0.023","0.017"
"Indonesia","2016","0.019","0.104","","",""
"Iran (Islamic Republic of)","2017","0.049","0.200","5.089","0.281","0.224"
"Iraq","2017","0.006","0.061","1.706","0.003",""
"Ireland","2016","0.617","0.617","3.830","0.085","4.468"
"Israel","2016","0.161","0.136","","","1.637"
"Italy","2015","","0.595","3.581","1.408","3.091"
"Jamaica","2015","0.035","0.070","6.093","0.174","2.994"
"Japan","2016","8.314","0.450","7.223","3.759","0.366"
"Jordan","2016","0.055","0.033","0.513","",""
"Kenya","2016","0.002","0.032","0.068","",""
"Kiribati","2015","0.890","","0.890","",""
"Kyrgyzstan","2016","0.085","0.136","1.159","0.051",""
"Latvia","2015","0.301","0.151","20.475","56.758",""
"Lebanon","2015","0.085","0.137","0.718","0.085","0.120"
"Liberia","2016","0.022","0.067","0.622","",""
"Libya","2016","0.032","","","",""
"Lithuania","2016","0.136","0.682","3.922","",""
"Luxembourg","2015","0.176","0.706","3.176","1.059","0.529"
"Madagascar","2016","0.021","0.045","","0.004","0.008"
"Malaysia","2016","0.013","0.153","0.316","3.118",""
"Maldives","2017","","0.239","1.434","2.151","0.239"
"Mali","2016","","0.006","","",""
"Marshall Islands","2017","","","","1.887",""
"Mauritania","2013","","0.024","0.048","",""
"Mauritius","2017","0.079","0.079","1.429","",""
"Mexico","2016","0.029","0.006","0.126","0.079","0.012"
"Monaco","2016","","2.610","5.221","5.221",""
"Mongolia","2016","0.034","0.470","0.067","",""
"Montenegro","2016","0.318","0.318","","",""
"Morocco","2016","0.032","0.080","0.371","0.101","0.069"
"Mozambique","2016","0.007","0.039","0.768","0.021",""
"Myanmar","2016","0.004","0.042","0.073","",""
"Namibia","2016","","0.082","0.082","","0.041"
"Nauru","2016","","","8.881","",""
"Nepal","2016","0.021","0.063","0.112","",""
"Netherlands","2015","0.201","","","",""
"New Zealand","2016","","0.607","","",""
"Nicaragua","2017","0.016","0.016","0.691","","0.033"
"Niger","2016","","0.033","1.685","0.019",""
"Niue","2017","","","61.387","61.387",""
"Norway","2016","0.577","0.481","1.308","0.885",""
"Pakistan","2016","0.006","0.422","2.300","","0.305"
"Panama","2016","0.025","0.277","2.696","0.025",""
"Paraguay","2016","0.030","0.030","1.416","0.015","0.090"
"Peru","2016","0.010","0.057","0.166","0.016","0.022"
"Philippines","2016","0.001","0.083","0.211","0.002","0.058"
"Poland","2016","0.125","0.261","3.207","0.716",""
"Portugal","2016","0.029","0.288","0.701","0.518","0.269"
"Qatar","2016","0.038","0.038","0.344","0.115","0.076"
"Republic of Korea","2016","0.358","0.389","1.789","0.134","0.427"
"Republic of Moldova","2015","0.074","0.074","1.058","","0.098"
"North Macedonia","2017","0.144","0.721","0.096","",""
"Romania","2016","0.171","0.392","0.911","0.277",""
"Russian Federation","2015","0.136","","2.332","0.196",""
"Rwanda","2016","0.017","0.396","0.404","",""
"Saint Kitts and Nevis","2017","","3.684","","1.842",""
"Saint Lucia","2016","0.564","","19.751","",""
"Saint Vincent and the Grenadines","2017","0.914","","3.654","35.631",""
"Samoa","2016","0.516","0.516","12.387","0.516","4.645"
"Sao Tome and Principe","2016","","0.511","0.511","",""
"Saudi Arabia","2016","0.079","0.013","0.507","","0.013"
"Senegal","2016","0.007","0.027","0.040","","0.027"
"Serbia","2017","0.079","0.407","0.136","0.441",""
"Seychelles","2016","1.067","","2.134","1.067","1.067"
"Sierra Leone","2017","0.014","","0.014","",""
"Singapore","2016","0.018","0.072","0.217","0.163","0.054"
"Slovenia","2016","0.241","0.048","5.832","2.121","3.518"
"Somalia","2017","0.007","","0.007","",""
"South Africa","2016","0.116","0.072","0.110","",""
"South Sudan","2016","","0.008","0.008","",""
"Spain","2015","0.183","1.028","2.045","",""
"Sri Lanka","2017","0.005","0.150","1.328","0.130","0.111"
"Switzerland","2015","0.589","0.252","","","2.488"
"Syrian Arab Republic","2016","0.016","0.016","2.263","",""
"Tajikistan","2016","0.035","0.129","0.164","",""
"Thailand","2016","0.028","0.151","1.302","0.007",""
"Timor-Leste","2016","","0.081","6.527","","0.161"
"Togo","2016","0.013","0.108","0.040","","0.040"
"Tonga","2016","0.000","0.940","0.940","",""
"Trinidad and Tobago","2017","0.074","","0.662","0.074",""
"Tunisia","2017","0.009","","","",""
"Turkey","2016","0.011","0.455","0.190","","0.174"
"Uganda","2016","0.002","0.032","0.942","",""
"Ukraine","2016","0.139","0.052","0.049","1.576",""
"United Arab Emirates","2016","0.011","0.055","0.524","","0.033"
"United Republic of Tanzania","2015","0.004","0.009","0.067","","0.007"
"United States of America","2016","0.189","0.349","0.373","",""
"Uruguay","2016","0.321","0.699","","0.612",""
"Uzbekistan","2016","0.081","0.013","0.084","0.052",""
"Vanuatu","2016","","0.756","2.645","",""
"Viet Nam","2016","0.043","0.017","0.009","",""
"Yemen","2016","0.033","0.026","0.063","",""
"Zambia","2016","0.062","0.062","0.205","","0.019"
"Zimbabwe","2016","0.025","0.025","0.057","0.006","0.051"
